primer1,primer2,score
vac1,vac2,-3667.007457849366
vac1,vac3,-2669.3986867647473
vac1,mhv1,-3560.943686770952
vac1,mhv2,-3975.7886867678462
vac1,mhv3,-3292.893686767842
vac1,t4p1,-2363.1258735387964
vac1,t4p2,-3837.1899156863255
vac1,t4p3,-3778.8123735326008
vac1,lam1,-2302.7812289277863
vac1,lam2,-2928.102457846264
vac1,lam3,-3139.6886867647445
vac1,phi1,-3433.6886867709472
vac1,phi2,-3667.007457849366
vac1,phi3,-3017.888686764745
vac1,ms21,-4465.7037892189255
vac1,ms22,-3939.0124578493705
vac1,ms23,-2949.639289222003
vac1,m131,-4161.144331375763
vac1,m132,-3667.007457849366
vac1,m133,-2814.4488735356936
vac1,mat1,-1979.851228927786
vac1,mat2,-4521.843686770953
vac2,vac1,-3667.0074578493623
vac2,vac3,-3359.749915686327
vac2,mhv1,-2262.551228927783
vac2,mhv2,-2795.3286867647403
vac2,mhv3,-5268.399915689428
vac2,t4p1,-4754.489915689417
vac2,t4p2,-2645.7724578462658
vac2,t4p3,-3340.3849156894285
vac2,lam1,-3437.579915692535
vac2,lam2,-3647.4036867678406
vac2,lam3,-3116.324915686324
vac2,phi1,-2451.597457846263
vac2,phi2,-4214.454915689428
vac2,phi3,-7918.107373532599
vac2,ms21,-6179.532289222028
vac2,ms22,-2356.2924578462626
vac2,ms23,-3030.2986867678446
vac2,m131,-2645.7724578462658
vac2,m132,-2754.6612289277873
vac2,m133,-2693.2636867678484
vac2,mat1,-4663.442457849364
vac2,mat2,-2201.2812289277863
vac3,vac1,-2669.39868676474
vac3,vac2,-3359.749915686323
vac3,mhv1,-1036.439560300445
vac3,mhv2,-3748.163686770946
vac3,mhv3,-2813.0624578462666
vac3,t4p1,-1888.3736867647422
vac3,t4p2,-4580.181144607901
vac3,t4p3,-3092.197457846265
vac3,lam1,-3608.737457846266
vac3,lam2,-2677.113686770943
vac3,lam3,-2479.7236867647443
vac3,phi1,-4681.637289222024
vac3,phi2,-3604.9774578462675
vac3,phi3,-2756.9886867709465
vac3,ms21,-3612.073331375752
vac3,ms22,-3151.6649156894237
vac3,ms23,-5797.047373532587
vac3,m131,-2981.8086867709426
vac3,m132,-2705.606228927787
vac3,m133,-2811.3674578462596
vac3,mat1,-3067.898686767847
vac3,mat2,-2547.2724578462658
mhv1,vac1,-3560.943686770952
mhv1,vac2,-2262.551228927783
mhv1,vac3,-1036.4395603004305
mhv1,mhv2,-2347.4711446110014
mhv1,mhv3,-7441.602373535694
mhv1,t4p1,-2333.927457849368
mhv1,t4p2,-3286.372457849364
mhv1,t4p3,-5401.91737352949
mhv1,lam1,-2766.876228927784
mhv1,lam2,-3681.983686767846
mhv1,lam3,-3197.0874578493676
mhv1,phi1,-3784.569915689426
mhv1,phi2,-2766.876228927784
mhv1,phi3,-5073.28991569252
mhv1,ms21,-2487.569915689426
mhv1,ms22,-3985.4374578493625
mhv1,ms23,-2662.5074578493623
mhv1,m131,-3603.4136867678426
mhv1,m132,-1364.337373532595
mhv1,m133,-4568.96491569253
mhv1,mat1,-2813.062457849366
mhv1,mat2,-2557.4224578493668
mhv2,vac1,-3975.7886867678426
mhv2,vac2,-2795.3286867647403
mhv2,vac3,-3748.163686770946
mhv2,mhv1,-2347.4711446110086
mhv2,mhv3,-4972.919915689432
mhv2,t4p1,-5060.943686770952
